date_time,humidity,tempC,precipMM
2009,69.6054794520548,23.40673515981735,707.0000000000023
2010,71.5263698630137,23.627511415525113,799.9000000000041
2011,66.41518264840182,23.38961187214612,496.60000000000144
2012,62.95332422586521,23.898224043715846,366.7000000000007
2013,64.75205479452055,23.810045662100457,389.7000000000011
2014,63.02728310502283,24.060045662100457,395.0999999999999
2015,65.87842465753425,23.849086757990868,539.5000000000042
2016,63.34266848816029,23.94922586520947,447.80000000000183
2017,63.42305936073059,24.14543378995434,711.600000000003
2018,60.08755707762557,24.631050228310503,649.800000000004
2019,62.81198630136986,25.01746575342466,1987.999999999992
2020,78.125,21.708333333333332,2.9
